Date,KOSPI2_Close,KOSPI2_12MF_EPS,KOSPI2_12MF_PE,KOSPI2_Fund_Flow,KSP2_CM_Close,KSP2_CM_12MF_EPS,KSP2_CM_12MF_PE,KSP2_CM_Fund_Flow,KSP2_CT_Close,KSP2_CT_12MF_EPS,KSP2_CT_12MF_PE,KSP2_CT_Fund_Flow,KSP2_HI_Close,KSP2_HI_12MF_EPS,KSP2_HI_12MF_PE,KSP2_HI_Fund_Flow,KSP2_MT_Close,KSP2_MT_12MF_EPS,KSP2_MT_12MF_PE,KSP2_MT_Fund_Flow,KSP2_EN_Close,KSP2_EN_12MF_EPS,KSP2_EN_12MF_PE,KSP2_EN_Fund_Flow,KSP2_IT_Close,KSP2_IT_12MF_EPS,KSP2_IT_12MF_PE,KSP2_IT_Fund_Flow,KSP2_FN_Close,KSP2_FN_12MF_EPS,KSP2_FN_12MF_PE,KSP2_FN_Fund_Flow,KSP2_CS_Close,KSP2_CS_12MF_EPS,KSP2_CS_12MF_PE,KSP2_CS_Fund_Flow,KSP2_CD_Close,KSP2_CD_12MF_EPS,KSP2_CD_12MF_PE,KSP2_CD_Fund_Flow,KSP2_IN_Close,KSP2_IN_12MF_EPS,KSP2_IN_12MF_PE,KSP2_IN_Fund_Flow,KSP2_HE_Close,KSP2_HE_12MF_EPS,KSP2_HE_12MF_PE,KSP2_HE_Fund_Flow
2011-08-26,229.00,"7,768.00",7.83,99.99,,,,,628.91,"4,467.00",9.79,100.81,592.23,"7,888.00",8.84,99.89,"1,071.01","16,248.00",7.19,99.70,"1,336.51","16,124.00",6.91,99.30,966.92,"12,649.00",8.21,99.79,697.57,"3,504.00",6.54,100.59,780.50,"4,340.00",11.13,100.49,"1,990.77","15,077.00",7.50,99.89,,,,,,,,
2011-09-02,240.16,"7,839.00",8.15,99.94,,,,,654.70,"4,543.00",10.00,100.70,624.08,"8,102.00",9.16,99.75,"1,151.82","16,441.00",7.60,99.66,"1,402.20","16,501.00",7.12,99.20,"1,026.93","12,495.00",8.82,99.78,722.92,"3,512.00",6.77,100.53,802.62,"4,452.00",11.13,100.50,"2,088.30","15,223.00",7.80,99.84,,,,,,,,
2011-09-09,233.40,"7,837.00",7.92,99.91,,,,,617.69,"4,544.00",9.40,100.66,589.53,"8,735.00",7.94,99.61,"1,140.26","16,607.00",7.77,99.66,"1,315.68","16,484.00",6.69,99.16,"1,002.19","12,133.00",8.99,99.80,683.18,"3,532.00",6.34,100.47,799.21,"4,322.00",11.14,100.50,"2,049.75","15,178.00",7.71,99.83,,,,,,,,
2011-09-16,237.50,"7,795.00",8.10,100.03,,,,,641.53,"4,496.00",9.83,100.86,581.50,"8,744.00",7.87,99.74,"1,149.58","16,586.00",7.91,99.75,"1,332.48","16,340.00",6.85,99.19,"1,033.46","12,092.00",9.27,99.97,674.41,"3,521.00",6.32,100.52,820.71,"4,208.00",11.72,100.57,"2,107.72","15,136.00",7.93,100.00,,,,,,,,
2011-09-23,218.62,"7,734.00",7.51,99.91,,,,,584.78,"4,511.00",8.98,100.68,501.66,"8,264.00",7.25,99.48,977.77,"16,487.00",6.77,99.52,"1,186.73","15,922.00",6.16,98.92,985.03,"11,900.00",8.92,99.89,610.75,"3,526.00",5.70,100.44,790.84,"4,212.00",11.29,100.58,"1,979.90","15,206.00",7.42,99.93,,,,,,,,
2011-09-30,230.41,"7,614.00",8.01,99.93,,,,,597.79,"4,580.00",9.03,100.68,522.86,"7,877.00",7.91,99.50,947.34,"16,309.00",6.80,99.41,"1,165.70","15,789.00",6.10,98.87,"1,064.80","11,694.00",9.91,99.99,679.36,"3,390.00",6.52,100.47,795.97,"4,147.00",11.65,100.57,"2,107.57","15,278.00",7.86,99.96,,,,,,,,
2011-10-07,230.27,"7,820.00",8.02,100.03,,,,,553.18,"4,569.00",8.47,100.91,534.39,"7,816.00",8.21,99.78,947.12,"16,076.00",7.03,99.59,"1,151.86","15,494.00",6.11,99.18,"1,083.47","11,965.00",9.89,100.01,700.39,"3,528.00",6.82,100.56,814.78,"4,185.00",11.84,100.54,"1,997.81","15,383.00",7.41,99.98,,,,,,,,
2011-10-14,239.67,"7,719.00",8.34,100.04,,,,,596.44,"4,567.00",9.11,100.90,567.77,"7,654.00",8.83,99.69,965.01,"15,774.00",7.13,99.55,"1,224.21","15,847.00",6.59,99.14,"1,134.53","12,054.00",10.20,100.03,726.08,"3,384.00",7.11,100.60,819.07,"4,219.00",11.84,100.61,"2,109.33","15,645.00",7.69,100.02,,,,,,,,
2011-10-21,240.02,"7,668.00",8.41,100.03,,,,,598.37,"4,482.00",9.26,100.85,534.27,"7,526.00",8.50,99.52,933.89,"15,648.00",6.95,99.51,"1,244.52","15,719.00",6.72,99.14,"1,170.87","12,086.00",10.51,100.11,685.18,"3,345.00",6.79,100.56,833.11,"4,146.00",12.28,100.59,"2,139.22","15,635.00",7.81,100.01,,,,,,,,
2011-10-28,252.47,"7,578.00",8.95,100.11,,,,,654.99,"4,342.00",10.49,101.06,606.11,"6,754.00",10.60,99.85,"1,044.52","15,273.00",7.87,99.65,"1,357.55","15,457.00",7.48,99.33,"1,179.43","11,993.00",10.78,100.10,743.53,"3,383.00",7.23,100.69,846.22,"4,115.00",12.63,100.51,"2,188.00","15,712.00",7.95,100.04,,,,,,,,
