Date,KOSPI2_Close,KOSPI2_12MF_EPS,KOSPI2_12MF_PE,KOSPI2_Fund_Flow,KSP2_CT_Close,KSP2_CT_12MF_EPS,KSP2_CT_12MF_PE,KSP2_CT_Fund_Flow,KSP2_HI_Close,KSP2_HI_12MF_EPS,KSP2_HI_12MF_PE,KSP2_HI_Fund_Flow,KSP2_MT_Close,KSP2_MT_12MF_EPS,KSP2_MT_12MF_PE,KSP2_MT_Fund_Flow,KSP2_EN_Close,KSP2_EN_12MF_EPS,KSP2_EN_12MF_PE,KSP2_EN_Fund_Flow,KSP2_IT_Close,KSP2_IT_12MF_EPS,KSP2_IT_12MF_PE,KSP2_IT_Fund_Flow,KSP2_FN_Close,KSP2_FN_12MF_EPS,KSP2_FN_12MF_PE,KSP2_FN_Fund_Flow,KSP2_CS_Close,KSP2_CS_12MF_EPS,KSP2_CS_12MF_PE,KSP2_CS_Fund_Flow,KSP2_CD_Close,KSP2_CD_12MF_EPS,KSP2_CD_12MF_PE,KSP2_CD_Fund_Flow
2011-09-18,237.5,7795,8.1,100.03,641.53,4496,9.83,100.86,581.5,8744,7.87,99.74,1149.58,16586,7.91,99.75,1332.48,16340,6.85,99.19,1033.46,12092,9.27,99.97,674.41,3521,6.32,100.52,820.71,4208,11.72,100.57,2107.72,15136,7.93,100
2011-09-25,218.62,7734,7.51,99.91,584.78,4511,8.98,100.68,501.66,8264,7.25,99.48,977.77,16487,6.77,99.52,1186.73,15922,6.16,98.92,985.03,11900,8.92,99.89,610.75,3526,5.7,100.44,790.84,4212,11.29,100.58,1979.9,15206,7.42,99.93
2011-10-02,230.41,7614,8.01,99.93,597.79,4580,9.03,100.68,522.86,7877,7.91,99.5,947.34,16309,6.8,99.41,1165.7,15789,6.1,98.87,1064.8,11694,9.91,99.99,679.36,3390,6.52,100.47,795.97,4147,11.65,100.57,2107.57,15278,7.86,99.96
2011-10-09,230.27,7820,8.02,100.03,553.18,4569,8.47,100.91,534.39,7816,8.21,99.78,947.12,16076,7.03,99.59,1151.86,15494,6.11,99.18,1083.47,11965,9.89,100.01,700.39,3528,6.82,100.56,814.78,4185,11.84,100.54,1997.81,15383,7.41,99.98
2011-10-16,239.67,7719,8.34,100.04,596.44,4567,9.11,100.9,567.77,7654,8.83,99.69,965.01,15774,7.13,99.55,1224.21,15847,6.59,99.14,1134.53,12054,10.2,100.03,726.08,3384,7.11,100.6,819.07,4219,11.84,100.61,2109.33,15645,7.69,100.02
2011-10-23,240.02,7668,8.41,100.03,598.37,4482,9.26,100.85,534.27,7526,8.5,99.52,933.89,15648,6.95,99.51,1244.52,15719,6.72,99.14,1170.87,12086,10.51,100.11,685.18,3345,6.79,100.56,833.11,4146,12.28,100.59,2139.22,15635,7.81,100.01
2011-10-30,252.47,7578,8.95,100.11,654.99,4342,10.49,101.06,606.11,6754,10.6,99.85,1044.52,15273,7.87,99.65,1357.55,15457,7.48,99.33,1179.43,11993,10.78,100.1,743.53,3383,7.23,100.69,846.22,4115,12.63,100.51,2188,15712,7.95,100.04
2011-11-06,252.34,7698,8.81,100.19,639.42,4309,10.48,101.13,579.24,6791,10.1,99.78,1014.52,15346,7.61,99.68,1340.31,15398,7.41,99.49,1186.92,12990,10.23,100.23,717.86,3353,7.08,100.69,829.95,4181,12.18,100.44,2246.48,15640,8.2,100.18
2011-11-13,242.99,7710,8.5,100.16,618.78,4296,10.14,101.08,544.77,6874,9.45,99.76,984.88,15343,7.4,99.66,1296.69,15384,7.16,99.42,1143.38,13264,9.94,100.21,676.68,3327,6.78,100.66,818.16,4162,12.05,100.41,2141.98,15658,7.81,100.19
2011-11-20,239.43,7670,8.44,100.09,608.85,4322,10.08,101.02,539.7,6776,9.45,99.72,986,15430,7.49,99.57,1269.03,15329,7.06,99.21,1146.92,13298,9.83,100.16,654.29,3311,6.68,100.6,821.64,3929,12.87,100.39,2076.38,15629,7.58,100.12
2011-11-27,231.03,7650,8.17,100.09,569.86,4327,9.51,101,510.15,6675,9.08,99.71,925.86,15411,6.98,99.54,1180.88,15214,6.59,99.21,1108.4,13350,9.52,100.17,648.17,3299,6.63,100.63,826.48,3917,13,100.42,1998.93,15533,7.35,100.07
2011-12-04,251.19,7629,8.78,100.16,637.89,4369,10.44,101.07,572.78,6573,10.37,99.78,1029.37,15537,7.74,99.58,1305.98,15006,7.42,99.25,1209.83,13808,10.13,100.24,707.54,3126,7.45,100.69,842.98,4332,11.96,100.42,2116.48,15558,7.74,100.23
